id,name,altitude,color,statusname,statusid,statustimestamp,firsttimestatus,lastupdated,size,sizeunit,containment,containmentunit,admindivision,admindivisiontype,admindivisionupper,admindivisionuppertype,protectingunit,publicvisibility,number,categoryType,lat,lng
46CD5BBE-4238-4093-B8D4-374A5678FDA0,Red River 4852,106.5813,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-14T21:48:00.000Z,2025-10-14T19:35:00.000Z,2025-10-14T21:56:04.676Z,4.0,Acres,100,Percent,Red River,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,254852,Wildfire,33.434698,-95.183647
5EC6FF76-63F3-48B7-9EFA-C2B449CE6A2B,Jasper 4850,90.8167,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-14T20:18:00.000Z,2025-10-14T19:24:00.000Z,2025-10-14T20:40:04.348Z,0.17,Acres,100,Percent,Jasper,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,254850,Wildfire,30.940432409726025,-94.01653421505458
FB53F9EA-24F2-4832-B5F4-CBAF443FEADC,Angelina 4849,65.3304,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2025-10-14T20:32:00.000Z,2025-10-14T19:23:00.000Z,2025-10-14T21:21:14.727Z,5.0,Acres,75,Percent,Angelina,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,254849,Wildfire,31.20034999999999,-94.63226666666667
B78FE085-7C8D-463E-A76E-8A862111712F,San Augustine 4847,161.3929,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-14T21:08:00.000Z,2025-10-14T19:07:00.000Z,2025-10-14T21:46:34.510Z,4.2,Acres,100,Percent,San Augustine,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,254847,Wildfire,31.555555555555554,-94.08111111111111
76D3364A-0B94-43B5-B3F0-93BEBB96815D,Cherokee 4843,155.2245,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-14T19:42:00.000Z,2025-10-14T18:40:00.000Z,2025-10-14T19:43:52.790Z,0.5,Acres,100,Percent,Cherokee,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,254843,Wildfire,31.706249999999994,-95.05613333333332
9984122D-21CB-4FBA-8A10-BA5B72063997,Harrison 4839,103.9883,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-14T15:20:00.000Z,2025-10-14T13:12:00.000Z,2025-10-14T15:22:49.287Z,1.0,Acres,100,Percent,Harrison,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,254839,Wildfire,32.46434699999999,-94.180265
8239B329-FC45-424E-B508-1CA2332A6B56,Shelby 4837,86.8917,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-14T00:27:00.000Z,2025-10-13T22:08:00.000Z,2025-10-14T00:31:22.189Z,17.1,Acres,100,Percent,Shelby,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,254837,Wildfire,31.767333333333337,-94.07374499999999
24D0821D-91F7-4A2A-BCE1-69EEF277A418,Gregg 4836,108.4329,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-13T23:55:00.000Z,2025-10-13T21:05:00.000Z,2025-10-13T23:58:06.839Z,2.0,Acres,100,Percent,Gregg,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,254836,Wildfire,32.55617000000019,-94.84868999999996
E32EBFB0-6834-49DE-81C3-3A2DBBB32409,Gooseberry,215.8292,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-14T19:35:53.000Z,2025-10-13T20:59:42.000Z,2025-10-14T19:36:55.887Z,193.0,Acres,100,Percent,Bell,COUNTY,8,REGION,TXTXS - Texas A & M Forest Service,Visible,254835,Wildfire,30.89327166666666,-97.512565
5FE0B2A4-024C-4EE7-949F-2572CB94A0BF,Jasper 4834,47.7108,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-13T22:06:00.000Z,2025-10-13T19:47:07.000Z,2025-10-13T23:05:47.317Z,2.0,Acres,100,Percent,Jasper,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,254834,Wildfire,30.969239999999992,-94.12359000000001
8537D636-3D81-4749-BE80-346658FB868F,Goebel,142.0653,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2025-10-13T20:43:01.000Z,2025-10-13T18:56:26.000Z,2025-10-14T19:46:30.754Z,59.0,Acres,70,Percent,Limestone,COUNTY,8,REGION,TXTXS - Texas A & M Forest Service,Visible,254833,Wildfire,31.287595000000184,-96.53131899999995
4C676C80-3186-4880-8D0E-A1A5BB939B7D,Red River 4830,134.3002,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-13T19:33:00.000Z,2025-10-13T18:12:00.000Z,2025-10-13T19:49:33.771Z,0.26,Acres,100,Percent,Red River,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,254830,Wildfire,33.607749999999996,-95.22468333333335
6215631D-E09C-45F1-BC0C-3C79444AE88A,Jasper 4829,38.756,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-13T21:58:00.000Z,2025-10-13T18:01:00.000Z,2025-10-14T14:42:37.241Z,17.25,Acres,100,Percent,Jasper,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,254829,Wildfire,30.542366666666666,-94.01721666666667
1797B21C-9267-4961-9723-B4F49D950194,Panola 4810,113.3809,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2025-10-13T04:51:00.000Z,2025-10-13T01:56:00.000Z,2025-10-13T05:40:44.479Z,2.86,Acres,100,Percent,Panola,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,254810,Wildfire,32.330833333333324,-94.18138888888889
